Kota/Kabupaten;Tahun;IPM;AHH;HLS;RLS;PPRD;SMA;AMH
Kabupaten Trenggalek;2019;69,46;73,59;12,25;7,28;9865;;
Kabupaten Tulungagung;2019;72,62;73,95;13,15;8,07;10891;;
Kabupaten Blitar;2019;70,57;73,39;12,45;7,29;10861;;
Kabupaten Kediri;2019;71,85;72,54;12,88;8,01;11146;;
Kabupaten Malang;2019;70,35;72,45;13,17;7,27;10270;;
Kabupaten Lumajang;2019;65,33;69,94;11,8;6,22;9274;;
Kabupaten Jember;2019;66,69;68,99;13,22;6,18;9525;;
Kabupaten Banyuwangi;2019;70,6;70,54;12,78;7,13;12264;;
Kabupaten Bondowoso;2019;66,09;66,55;13,27;5,71;10665;;
Kabupaten Situbondo;2019;67,09;68,97;13,14;6,12;10097;;
Kabupaten Probolinggo;2019;65,6;67;12,34;5,77;10972;;
Kabupaten Pasuruan;2019;68,29;70,17;12,31;7,11;10381;;
Kabupaten Sidoarjo;2019;80,05;73,98;14,91;10,25;14609;;
Kabupaten Mojokerto;2019;73,53;72,43;12,61;8,49;12860;;
Kabupaten Jombang;2019;72,85;72,27;13;8,53;11533;;
Kabupaten Nganjuk;2019;71,71;71,44;12,85;7,63;12200;;
Kabupaten Madiun;2019;71,69;71,22;13,14;7,8;11650;;
Kabupaten Magetan;2019;73,49;72,49;14;7,96;11779;;
Kabupaten Ngawi;2019;70,41;72,16;12,69;6,98;11468;;
Kabupaten Bojonegoro;2019;68,75;71,36;12,36;7,09;10265;;
Kabupaten Tuban;2019;68,37;71,26;12,2;6,81;10499;;
Kabupaten Lamongan;2019;72,57;72,27;13,47;7,89;11572;;
Kabupaten Gresik;2019;76,1;72,61;13,72;9,29;13295;;
Kabupaten Bangkalan;2019;63,79;70,11;11,59;5,66;8718;;
Kabupaten Sampang;2019;61,94;67,96;12,08;4,55;8760;;
Kabupaten Pamekasan;2019;65,94;67,45;13,63;6,4;8834;;
Kabupaten Sumenep;2019;66,22;71,22;13,19;5,46;9082;;
Kota Kediri;2019;78,08;73,96;14,97;9,92;12440;;
Kota Blitar;2019;78,56;73,6;14,31;10,1;13851;;
Kota Malang;2019;81,32;73,15;15,41;10,17;16666;;
Kota Probolinggo;2019;73,27;70,19;13,57;8,69;12280;;
Kota Pasuruan;2019;75,25;71,4;13,6;9,11;13393;;
Kota Mojokerto;2019;77,96;73,21;13,83;10,24;13710;;
Kota Madiun;2019;80,88;72,75;14,39;11,13;16040;;
Kota Surabaya;2019;82,22;74,13;14,79;10,47;17854;;
Kota Batu;2019;75,88;72,54;14,12;9,06;12870;;
Kabupaten Pacitan;2020;68,39;71,94;12,64;7,6;8796;;
Kabupaten Ponorogo;2020;70,81;72,77;13,73;7,54;9670;;
Kabupaten Trenggalek;2020;69,74;73,75;12,35;7,55;9630;;
Kabupaten Tulungagung;2020;73;74,08;13,31;8,33;10705;;
Kabupaten Blitar;2020;70,58;73,52;12,46;7,39;10654;;
Kabupaten Kediri;2020;72,05;72,61;13,15;8,02;11000;;
Kabupaten Malang;2020;70,36;72,55;13,18;7,42;10028;;
Kabupaten Lumajang;2020;65,46;70,1;11,81;6,4;9088;;
Kabupaten Jember;2020;67,11;69,15;13,42;6,48;9294;;
Kabupaten Banyuwangi;2020;70,62;70,65;12,8;7,16;12140;;
Kabupaten Bondowoso;2020;66,43;66,74;13,28;5,93;10610;;
Kabupaten Situbondo;2020;67,38;69,13;13,15;6,46;9857;;
Kabupaten Probolinggo;2020;66,07;67,2;12,35;6,11;10859;;
Kabupaten Pasuruan;2020;68,6;70,23;12,41;7,4;10164;;
Kabupaten Sidoarjo;2020;80,29;74,04;14,93;10,5;14458;;
Kabupaten Mojokerto;2020;73,83;72,53;12,88;8,51;12779;;
Kabupaten Jombang;2020;72,97;72,4;13,27;8,54;11261;;
Kabupaten Nganjuk;2020;71,72;71,54;12,86;7,64;12130;;
Kabupaten Madiun;2020;71,73;71,38;13,16;7,81;11574;;
Kabupaten Magetan;2020;73,92;72,59;14,03;8,24;11776;;
Kabupaten Ngawi;2020;70,54;72,3;12,7;7,06;11418;;
Kabupaten Bojonegoro;2020;69,04;71,56;12,39;7,33;10121;;
Kabupaten Tuban;2020;68,4;71,43;12,21;6,95;10238;;
Kabupaten Lamongan;2020;72,58;72,4;13,48;7,92;11456;;
Kabupaten Gresik;2020;76,11;72,66;13,73;9,3;13246;;
Kabupaten Bangkalan;2020;64,11;70,18;11,6;5,95;8610;;
Kabupaten Sampang;2020;62,7;68,03;12,37;4,85;8739;;
Kabupaten Pamekasan;2020;66,26;67,58;13,64;6,69;8739;;
Kabupaten Sumenep;2020;66,43;71,41;13,2;5,71;8888;;
Kota Kediri;2020;78,23;74,02;15,26;9,93;12239;;
Kota Blitar;2020;78,57;73,75;14,32;10,11;13733;;
Kota Malang;2020;81,45;73,27;15,51;10,18;16593;;
Kota Probolinggo;2020;73,27;70,29;13,59;8,7;12180;;
Kota Pasuruan;2020;75,26;71,52;13,62;9,12;13281;;
Kota Mojokerto;2020;78,04;73,32;14;10,25;13499;;
